Frame:1 FPS:18.9745 iou:0.997885
Frame:2 FPS:15.3432 iou:0.989081
Frame:3 FPS:16.6527 iou:0.973737
Frame:4 FPS:19.717 iou:0.947061
Frame:5 FPS:19.1492 iou:0.941273
Frame:6 FPS:19.7076 iou:0.927709
Frame:7 FPS:19.3403 iou:0.90267
Frame:8 FPS:19.5077 iou:0.873558
Frame:9 FPS:19.8873 iou:0.824094
Frame:10 FPS:22.5451 iou:0.7852
Frame:11 FPS:22.7407 iou:0.788859
Frame:12 FPS:22.6156 iou:0.761059
Frame:13 FPS:22.5313 iou:0.788833
Frame:14 FPS:22.6062 iou:0.798069
Frame:15 FPS:22.1439 iou:0.826094
Frame:16 FPS:22.9824 iou:0.807236
Frame:17 FPS:22.6771 iou:0.803477
Frame:18 FPS:23.3688 iou:0.795812
Frame:19 FPS:23.2894 iou:0.787447
Frame:20 FPS:22.1624 iou:0.784581
Frame:21 FPS:23.2404 iou:0.781467
Frame:22 FPS:23.5693 iou:0.77424
Frame:23 FPS:22.8822 iou:0.777676
Frame:24 FPS:22.7408 iou:0.761462
Frame:25 FPS:22.1389 iou:0.755775
Frame:26 FPS:23.0493 iou:0.761155
Frame:27 FPS:22.4742 iou:0.737197
Frame:28 FPS:23.9888 iou:0.74123
Frame:29 FPS:21.7032 iou:0.74059
Frame:30 FPS:22.9577 iou:0.735627
Frame:31 FPS:22.3409 iou:0.73093
Frame:32 FPS:22.8062 iou:0.724343
Frame:33 FPS:23.371 iou:0.715503
Frame:34 FPS:24.4166 iou:0.755527
Frame:35 FPS:23.5016 iou:0.750554
Frame:36 FPS:23.052 iou:0.680682
Frame:37 FPS:22.2459 iou:0.708182
Frame:38 FPS:22.792 iou:0.708181
Frame:39 FPS:22.9866 iou:0.680683
Frame:40 FPS:22.9935 iou:0.680683
Frame:41 FPS:22.9537 iou:0.709577
Frame:42 FPS:22.9594 iou:0.674754
Frame:43 FPS:22.5026 iou:0.694959
Frame:44 FPS:23.2665 iou:0.716655
Frame:45 FPS:22.7496 iou:0.72485
Frame:46 FPS:23.1294 iou:0.706897
Frame:47 FPS:22.5678 iou:0.698134
Frame:48 FPS:22.9476 iou:0.69268
Frame:49 FPS:22.9914 iou:0.691947
Frame:50 FPS:22.8944 iou:0.691364
Frame:51 FPS:23.4012 iou:0.667931
Frame:52 FPS:23.0249 iou:0.685555
Frame:53 FPS:23.0146 iou:0.680089
Frame:54 FPS:22.9613 iou:0.68255
Frame:55 FPS:23.8034 iou:0.673519
Frame:56 FPS:23.6525 iou:0.672807
Frame:57 FPS:23.1532 iou:0.668855
Frame:58 FPS:22.6058 iou:0.650064
Frame:59 FPS:22.5268 iou:0.673827
Frame:60 FPS:22.6862 iou:0.6662
Frame:61 FPS:22.7656 iou:0.672209
Frame:62 FPS:22.5956 iou:0.643802
Frame:63 FPS:23.5054 iou:0.626005
Frame:64 FPS:23.1212 iou:0.626004
Frame:65 FPS:23.3922 iou:0.626005
Frame:66 FPS:23.2558 iou:0.626005
Frame:67 FPS:23.6078 iou:0.626005
Frame:68 FPS:23.888 iou:0.626005
Frame:69 FPS:23.0067 iou:0.626005
Frame:70 FPS:24.1409 iou:0.626005
Frame:71 FPS:23.864 iou:0.626005
Frame:72 FPS:22.7695 iou:0.626005
Frame:73 FPS:23.3594 iou:0.626005
Frame:74 FPS:23.1056 iou:0.626005
Frame:75 FPS:22.0341 iou:0.626005
Frame:76 FPS:23.5901 iou:0.626005
Frame:77 FPS:23.827 iou:0.626005
Frame:78 FPS:23.4611 iou:0.626004
Frame:79 FPS:23.3767 iou:0.626005
Frame:80 FPS:22.9594 iou:0.626004
Frame:81 FPS:23.1458 iou:0.626005
Frame:82 FPS:22.5056 iou:0.626005
Frame:83 FPS:23.3964 iou:0.626005
Frame:84 FPS:23.0904 iou:0.626005
Frame:85 FPS:23.0158 iou:0.626004
Frame:86 FPS:23.2928 iou:0.620915
Frame:87 FPS:22.6719 iou:0.620915
Frame:88 FPS:23.3832 iou:0.627062
Frame:89 FPS:22.5026 iou:0.633334
Frame:90 FPS:23.5435 iou:0.639731
Frame:91 FPS:23.2549 iou:0.639731
Frame:92 FPS:23.5356 iou:0.63973
Frame:93 FPS:23.4758 iou:0.639731
Frame:94 FPS:23.0719 iou:0.629495
Frame:95 FPS:23.1461 iou:0.624499
Frame:96 FPS:23.6741 iou:0.614741
Frame:97 FPS:22.3268 iou:0.605284
Frame:98 FPS:23.0603 iou:0.591631
Frame:99 FPS:22.4728 iou:0.582866
Frame:100 FPS:23.2901 iou:0.582866
Frame:101 FPS:23.2444 iou:0.582866
Frame:102 FPS:22.3615 iou:0.582866
Frame:103 FPS:22.7844 iou:0.57858
Frame:104 FPS:22.6841 iou:0.57858
Frame:105 FPS:23.8079 iou:0.574356
Frame:106 FPS:22.564 iou:0.570194
Frame:107 FPS:23.2999 iou:0.566093
Frame:108 FPS:22.2489 iou:0.562049
Frame:109 FPS:23.1295 iou:0.566093
Frame:110 FPS:23.1331 iou:0.566093
Frame:111 FPS:23.5676 iou:0.570194
Frame:112 FPS:23.3408 iou:0.576013
Frame:113 FPS:23.5311 iou:0.588013
Frame:114 FPS:23.4487 iou:0.594203
Frame:115 FPS:22.3469 iou:0.594203
Frame:116 FPS:24.0298 iou:0.594203
Frame:117 FPS:23.3048 iou:0.594203
Frame:118 FPS:21.8105 iou:0.594203
Frame:119 FPS:23.0743 iou:0.594203
Frame:120 FPS:23.4194 iou:0.594203
Frame:121 FPS:23.1326 iou:0.594203
Frame:122 FPS:23.8504 iou:0.594203
Frame:123 FPS:23.6261 iou:0.594203
Frame:124 FPS:23.7578 iou:0.585714
Frame:125 FPS:23.7311 iou:0.573426
Frame:126 FPS:23.4953 iou:0.565517
Frame:127 FPS:24.0873 iou:0.565517
Frame:128 FPS:23.2912 iou:0.565518
Frame:129 FPS:23.4946 iou:0.561358
Frame:130 FPS:23.1654 iou:0.564505
Frame:131 FPS:23.8285 iou:0.565518
Frame:132 FPS:23.3704 iou:0.562401
Frame:133 FPS:23.446 iou:0.564008
Frame:134 FPS:22.5111 iou:0.565517
Frame:135 FPS:23.7724 iou:0.565517
Frame:136 FPS:21.8997 iou:0.565517
Frame:137 FPS:23.0881 iou:0.565517
Frame:138 FPS:22.8438 iou:0.565517
Frame:139 FPS:23.2381 iou:0.558304
Frame:140 FPS:22.868 iou:0.539835
Frame:141 FPS:22.7832 iou:0.536162
Frame:142 FPS:23.7815 iou:0.526992
Frame:143 FPS:23.3841 iou:0.503129
Frame:144 FPS:23.5027 iou:0.514605
Frame:145 FPS:22.5423 iou:0.502652
Frame:146 FPS:23.0679 iou:0.494323
Frame:147 FPS:23.1223 iou:0.483065
Frame:148 FPS:22.8066 iou:0.483065
Frame:149 FPS:22.3912 iou:0.483065
Frame:150 FPS:22.9228 iou:0.483065
Frame:151 FPS:23.3506 iou:0.483065
Frame:152 FPS:22.763 iou:0.483065
Frame:153 FPS:22.9213 iou:0.483065
Frame:154 FPS:23.1098 iou:0.487944
Frame:155 FPS:23.4228 iou:0.492923
Frame:156 FPS:23.3243 iou:0.498005
Frame:157 FPS:24.4912 iou:0.498005
Frame:158 FPS:23.0913 iou:0.498005
Frame:159 FPS:23.3062 iou:0.498005
Frame:160 FPS:23.9368 iou:0.489763
Frame:161 FPS:22.7948 iou:0.463022
Frame:162 FPS:23.4638 iou:0.473893
Frame:163 FPS:23.5246 iou:0.467969
Frame:164 FPS:23.3287 iou:0.465062
Frame:165 FPS:23.2548 iou:0.477914
Frame:166 FPS:23.1649 iou:0.459356
Frame:167 FPS:22.8723 iou:0.477914
Frame:168 FPS:22.864 iou:0.477914
Frame:169 FPS:23.3474 iou:0.477914
Frame:170 FPS:22.9537 iou:0.477914
Frame:171 FPS:22.7812 iou:0.477914
Frame:172 FPS:21.5114 iou:0.477914
Frame:173 FPS:22.1508 iou:0.477914
Frame:174 FPS:21.9283 iou:0.477914
Frame:175 FPS:22.5871 iou:0.477914
Frame:176 FPS:23.4667 iou:0.477914
Frame:177 FPS:22.6516 iou:0.477914
Frame:178 FPS:22.9169 iou:0.477914
Frame:179 FPS:22.7131 iou:0.477914
Frame:180 FPS:22.5082 iou:0.477914
Frame:181 FPS:22.9965 iou:0.477914
Frame:182 FPS:23.2957 iou:0.477914
Frame:183 FPS:22.0302 iou:0.477914
Frame:184 FPS:21.7212 iou:0.477914
Frame:185 FPS:21.9243 iou:0.477914
Frame:186 FPS:21.9281 iou:0.477914
Frame:187 FPS:22.5194 iou:0.477914
Frame:188 FPS:22.3413 iou:0.477914
Frame:189 FPS:22.2947 iou:0.477914
Frame:190 FPS:21.6622 iou:0.472121
Frame:191 FPS:22.4174 iou:0.469277
Frame:192 FPS:21.0831 iou:0.482423
Frame:193 FPS:18.8906 iou:0.463691
Frame:194 FPS:18.0234 iou:0.46369
Frame:195 FPS:19.4242 iou:0.482423
Frame:196 FPS:19.7751 iou:0.483791
Frame:197 FPS:19.2475 iou:0.49697
Frame:198 FPS:22.1331 iou:0.507204
Frame:199 FPS:23.0807 iou:0.507657
Frame:200 FPS:22.4797 iou:0.504599
Frame:201 FPS:22.972 iou:0.493288
Frame:202 FPS:22.6145 iou:0.493288
Frame:203 FPS:22.3197 iou:0.493288
Frame:204 FPS:22.8775 iou:0.493288
Frame:205 FPS:22.8009 iou:0.493288
Frame:206 FPS:22.4497 iou:0.493288
Frame:207 FPS:21.5248 iou:0.493288
Frame:208 FPS:22.5732 iou:0.493288
Frame:209 FPS:21.6887 iou:0.493288
Frame:210 FPS:23.6713 iou:0.493288
Frame:211 FPS:22.962 iou:0.493288
Frame:212 FPS:23.443 iou:0.493288
Frame:213 FPS:23.3008 iou:0.474133
Frame:214 FPS:22.7966 iou:0.474133
Frame:215 FPS:22.3378 iou:0.474133
Frame:216 FPS:22.4541 iou:0.474133
Frame:217 FPS:23.718 iou:0.474133
Frame:218 FPS:22.8796 iou:0.474133
Frame:219 FPS:22.4716 iou:0.474133
Frame:220 FPS:22.9652 iou:0.458793
Frame:221 FPS:22.7292 iou:0.446802
Frame:222 FPS:22.0857 iou:0.432804
Frame:223 FPS:22.0523 iou:0.432804
Frame:224 FPS:22.8516 iou:0.450289
Frame:225 FPS:22.9751 iou:0.450289
Frame:226 FPS:22.4021 iou:0.450289
Frame:227 FPS:22.9143 iou:0.450289
Frame:228 FPS:23.1366 iou:0.450289
Frame:229 FPS:23.1289 iou:0.447701
