Frame:1 FPS:20.8427 iou:0.814884
Frame:2 FPS:14.4417 iou:0.814763
Frame:3 FPS:14.075 iou:0.804807
Frame:4 FPS:13.9842 iou:0.832475
Frame:5 FPS:15.2811 iou:0.859581
Frame:6 FPS:21.269 iou:0.88796
Frame:7 FPS:12.7442 iou:0.868075
Frame:8 FPS:14.3213 iou:0.88543
Frame:9 FPS:14.738 iou:0.869789
Frame:10 FPS:20.352 iou:0.877717
Frame:11 FPS:20.4573 iou:0.895101
Frame:12 FPS:20.792 iou:0.870551
Frame:13 FPS:11.8436 iou:0.860016
Frame:14 FPS:14.8037 iou:0.86545
Frame:15 FPS:20.591 iou:0.851309
Frame:16 FPS:19.5154 iou:0.851378
Frame:17 FPS:20.2642 iou:0.827694
Frame:18 FPS:20.6481 iou:0.812966
Frame:19 FPS:12.0202 iou:0.82879
Frame:20 FPS:14.6792 iou:0.821279
Frame:21 FPS:20.3767 iou:0.787308
Frame:22 FPS:20.6719 iou:0.810577
Frame:23 FPS:20.1114 iou:0.817019
Frame:24 FPS:20.0499 iou:0.782611
Frame:25 FPS:11.5954 iou:0.788722
Frame:26 FPS:14.7317 iou:0.774013
Frame:27 FPS:19.8454 iou:0.779836
Frame:28 FPS:20.2221 iou:0.802005
Frame:29 FPS:19.3362 iou:0.811985
Frame:30 FPS:19.865 iou:0.834601
Frame:31 FPS:11.5068 iou:0.84554
Frame:32 FPS:14.5895 iou:0.843437
Frame:33 FPS:19.6351 iou:0.855058
Frame:34 FPS:19.8582 iou:0.828157
Frame:35 FPS:19.2968 iou:0.854277
Frame:36 FPS:19.8025 iou:0.814153
Frame:37 FPS:11.7485 iou:0.883609
Frame:38 FPS:14.455 iou:0.885455
Frame:39 FPS:19.3413 iou:0.927604
Frame:40 FPS:20.311 iou:0.855869
Frame:41 FPS:19.5211 iou:0.80151
Frame:42 FPS:19.6344 iou:0.734821
Frame:43 FPS:11.8245 iou:0.749002
Frame:44 FPS:14.3767 iou:0.762568
Frame:45 FPS:19.3421 iou:0.767796
Frame:46 FPS:19.8704 iou:0.80481
Frame:47 FPS:19.0789 iou:0.793705
Frame:48 FPS:19.8959 iou:0.844954
Frame:49 FPS:12.0221 iou:0.839453
Frame:50 FPS:13.9889 iou:0.823438
Frame:51 FPS:19.6767 iou:0.824028
Frame:52 FPS:19.8991 iou:0.856468
Frame:53 FPS:19.5741 iou:0.906484
Frame:54 FPS:19.9469 iou:0.93971
Frame:55 FPS:11.9333 iou:0.921266
Frame:56 FPS:14.1014 iou:0.908542
Frame:57 FPS:19.6444 iou:0.888834
Frame:58 FPS:20.3435 iou:0.86614
Frame:59 FPS:18.7724 iou:0.891722
Frame:60 FPS:19.4997 iou:0.874884
Frame:61 FPS:12.1077 iou:0.875319
Frame:62 FPS:14.143 iou:0.905703
Frame:63 FPS:20.0264 iou:0.917538
Frame:64 FPS:20.4126 iou:0.891017
Frame:65 FPS:18.8837 iou:0.893305
Frame:66 FPS:19.767 iou:0.868724
Frame:67 FPS:12.0719 iou:0.859314
Frame:68 FPS:14.1078 iou:0.892876
Frame:69 FPS:19.8848 iou:0.84207
Frame:70 FPS:20.0862 iou:0.827734
Frame:71 FPS:19.0025 iou:0.794398
Frame:72 FPS:19.8215 iou:0.747432
Frame:73 FPS:11.6675 iou:0.764701
Frame:74 FPS:14.849 iou:0.790059
Frame:75 FPS:19.9151 iou:0.804798
Frame:76 FPS:19.1645 iou:0.809714
Frame:77 FPS:20.0845 iou:0.805374
Frame:78 FPS:19.7203 iou:0.808446
Frame:79 FPS:11.7269 iou:0.872652
Frame:80 FPS:14.6282 iou:0.899724
Frame:81 FPS:20.7484 iou:0.847993
Frame:82 FPS:19.5543 iou:0.878521
Frame:83 FPS:20.3143 iou:0.829077
Frame:84 FPS:20.4516 iou:0.8575
Frame:85 FPS:11.6545 iou:0.854576
Frame:86 FPS:14.8645 iou:0.844701
Frame:87 FPS:20.1497 iou:0.803581
Frame:88 FPS:19.1361 iou:0.805383
Frame:89 FPS:19.9571 iou:0.805414
Frame:90 FPS:20.5671 iou:0.772395
Frame:91 FPS:11.6804 iou:0.784137
Frame:92 FPS:14.8048 iou:0.774882
Frame:93 FPS:20.4835 iou:0.773585
Frame:94 FPS:19.3113 iou:0.803515
Frame:95 FPS:20.3709 iou:0.796502
Frame:96 FPS:20.5718 iou:0.762668
Frame:97 FPS:11.6748 iou:0.830532
Frame:98 FPS:14.7273 iou:0.882656
Frame:99 FPS:19.2077 iou:0.844927
Frame:100 FPS:19.4125 iou:0.844927
Frame:101 FPS:19.7661 iou:0.835783
Frame:102 FPS:19.2214 iou:0.847962
Frame:103 FPS:11.8094 iou:0.812531
Frame:104 FPS:14.8992 iou:0.861885
Frame:105 FPS:19.2412 iou:0.832046
Frame:106 FPS:20.1237 iou:0.847799
Frame:107 FPS:19.7007 iou:0.879513
Frame:108 FPS:19.8832 iou:0.849585
Frame:109 FPS:12.0853 iou:0.864088
Frame:110 FPS:14.2327 iou:0.928841
Frame:111 FPS:19.2183 iou:0.928927
Frame:112 FPS:20.4954 iou:0.867327
Frame:113 FPS:19.6222 iou:0.795779
Frame:114 FPS:19.9936 iou:0.742364
Frame:115 FPS:11.8551 iou:0.842319
Frame:116 FPS:14.4658 iou:0.864748
Frame:117 FPS:19.9031 iou:0.821434
Frame:118 FPS:20.3856 iou:0.891905
Frame:119 FPS:19.3844 iou:0.929381
Frame:120 FPS:19.7467 iou:0.975421
Frame:121 FPS:11.8296 iou:0.935649
Frame:122 FPS:14.7073 iou:0.895464
Frame:123 FPS:19.3059 iou:0.877749
Frame:124 FPS:19.954 iou:0.865016
Frame:125 FPS:19.5995 iou:0.891734
Frame:126 FPS:19.9614 iou:0.933982
Frame:127 FPS:11.8011 iou:0.936733
Frame:128 FPS:14.8664 iou:0.931824
Frame:129 FPS:19.4211 iou:0.952808
Frame:130 FPS:20.2582 iou:0.944094
Frame:131 FPS:19.3959 iou:0.858922
Frame:132 FPS:20.0877 iou:0.868916
Frame:133 FPS:12.3364 iou:0.917749
Frame:134 FPS:14.1186 iou:0.933305
Frame:135 FPS:20.2884 iou:0.86309
Frame:136 FPS:19.7338 iou:0.866721
Frame:137 FPS:20.1662 iou:0.964206
Frame:138 FPS:19.6556 iou:0.893302
Frame:139 FPS:12.3962 iou:0.901634
Frame:140 FPS:13.7953 iou:0.904339
Frame:141 FPS:20.5953 iou:0.856284
Frame:142 FPS:19.9724 iou:0.838242
Frame:143 FPS:20.4166 iou:0.817707
Frame:144 FPS:20.1183 iou:0.796608
Frame:145 FPS:12.0492 iou:0.821223
Frame:146 FPS:14.6739 iou:0.860401
Frame:147 FPS:19.3537 iou:0.857
Frame:148 FPS:20.7773 iou:0.935369
Frame:149 FPS:20.3836 iou:0.896001
Frame:150 FPS:19.2768 iou:0.838823
Frame:151 FPS:12.4292 iou:0.895265
Frame:152 FPS:14.4403 iou:0.914257
Frame:153 FPS:19.5098 iou:0.814222
Frame:154 FPS:21.03 iou:0.833879
Frame:155 FPS:20.8194 iou:0.880759
Frame:156 FPS:19.558 iou:0.859511
Frame:157 FPS:12.4721 iou:0.901235
Frame:158 FPS:14.1814 iou:0.899797
Frame:159 FPS:19.508 iou:0.86405
Frame:160 FPS:20.3251 iou:0.797677
Frame:161 FPS:20.6425 iou:0.829806
Frame:162 FPS:19.0856 iou:0.775311
Frame:163 FPS:12.4629 iou:0.699168
Frame:164 FPS:14.0928 iou:0.676255
Frame:165 FPS:19.4354 iou:0.638243
Frame:166 FPS:20.3404 iou:0.637772
Frame:167 FPS:20.2278 iou:0.61099
Frame:168 FPS:19.5319 iou:0.620627
Frame:169 FPS:12.4968 iou:0.658665
Frame:170 FPS:14.1208 iou:0.684396
Frame:171 FPS:19.3352 iou:0.738938
Frame:172 FPS:21.1518 iou:0.711246
Frame:173 FPS:20.5466 iou:0.757205
Frame:174 FPS:19.351 iou:0.714593
Frame:175 FPS:12.4531 iou:0.768956
Frame:176 FPS:14.1277 iou:0.741967
Frame:177 FPS:19.5128 iou:0.770975
Frame:178 FPS:20.644 iou:0.795009
